t,fx,fy,fz,tx,ty,tz,tau_raw,tau_screw,tau_perp_mag,u,pA,pB
1786016702.6712797,-1.564454436302185,3.703869581222534,-121.50196838378906,-2.111492156982422,1.6840707063674927,0.9455267190933228,-2.111492156982422,-1.5559117197990417,1.931350543160016,-0.495921784782639,0.0,19.83687139130556
1786016702.7212713,-2.8585939407348633,3.9303195476531982,-120.9443359375,-2.1634304523468018,1.389725685119629,0.7573110461235046,-2.1634304523468018,-1.573882520198822,1.5826741611784465,-0.5051375798594494,0.0,20.205503194377975
1786016702.7713234,-3.3138060569763184,4.406424045562744,-121.31948852539062,-2.2206761837005615,1.2156834602355957,0.6665770411491394,-2.2206761837005615,-1.55971257686615,1.3864383243684273,-0.49787094225295087,0.0,19.914837690118034
1786016702.82129,-3.9963040351867676,4.899359226226807,-120.68600463867188,-2.3560333251953125,1.0762344598770142,0.5915603637695312,-2.3560333251953125,-1.6211294412612915,1.2280978285991342,-0.5293667701478952,0.0,21.17467080591581
1786016702.8712862,-3.833879232406616,5.3357062339782715,-121.43865966796875,-2.418229341506958,1.0643056631088257,0.5401358008384705,-2.418229341506958,-1.6178734064102174,1.1935213562701477,-0.5276970086858059,0.0,21.107880347432236
1786016702.9212773,-4.722917556762695,6.653164386749268,-122.50833892822266,-2.639374017715454,0.8921369910240173,0.5141329765319824,-2.639374017715454,-1.641399359703064,1.029680109699621,-0.539761600118035,0.0,21.590464004721397
1786016702.9713044,-4.312644004821777,6.859386920928955,-122.96414947509766,-2.725539207458496,0.9990832209587097,0.563437819480896,-2.725539207458496,-1.696631169319153,1.1470089183710024,-0.5680856050493627,0.0,22.723424201974506
1786016703.021289,-5.274518013000488,7.249792098999023,-122.38068389892578,-2.7924811840057373,0.8712478876113892,0.5616647601127625,-2.7924811840057373,-1.7050123691558838,1.036600301186448,-0.5723836562476862,0.0,22.895346249907448
1786016703.0712953,-5.612253189086914,6.786691665649414,-123.44920349121094,-2.762098550796509,0.7684729695320129,0.6122390627861023,-2.762098550796509,-1.7440948009490966,0.9825412840703209,-0.5924259289621543,0.0,23.69703715848617
1786016703.1213224,-6.589818954467773,6.775625228881836,-124.76710510253906,-2.7410778999328613,0.5840967297554016,0.6527748703956604,-2.7410778999328613,-1.724734115600586,0.8759474990723051,-0.5824973723731744,0.0,23.29989489492698
